latitude,longitude,population
18.180103,-66.74947,19143
18.363285,-67.18024,42042
18.448619,-67.13422,55592
18.498987,-67.13699,3844
18.182151,-66.9588,6449
18.288319,-67.13604,28005
18.449732,-66.69879,72865
18.426748,-66.67669,10525
18.455499,-66.55575,23223
18.003125,-67.16745,8284
18.08643,-67.15222,38627
18.055399,-66.72602,26719
18.435246,-66.85644,35244
18.186739,-66.85174,2169
18.073078,-66.94864,25935
18.308139,-66.49835,19648
18.268896,-66.70519,35095
18.442798,-66.27689,34114
17.964529,-66.93993,5352
18.363331,-66.56773,12207
18.457453,-66.61217,2903
17.992112,-66.90097,16536
18.038866,-66.79168,23072
18.432956,-66.80039,38925
18.139108,-67.12085,16614
18.478855,-67.01973,42178
18.212565,-66.59243,17318
18.017819,-67.04226,26637
18.288418,-66.87503,32246
18.241343,-66.97604,11174
18.426137,-66.48697,45874
18.37956,-67.08424,39697
18.336121,-67.23675,14767
18.442334,-66.93275,27271
18.205232,-67.12655,75090
18.208402,-67.15428,25138
18.092807,-67.04524,35165
18.332595,-66.98104,44649
18.31708,-66.41528,29965
18.40415,-66.61348,13501
18.495369,-67.09867,5249
18.419666,-66.33186,35223
18.440667,-66.3921,64054
18.06547,-66.85587,46384
18.246205,-66.12827,28752
17.970112,-66.22291,7593
18.12942,-66.26541,26493
18.014505,-65.91018,12741
17.987288,-66.05552,19117
18.003492,-66.55868,2268
17.999066,-66.59965,38859
18.004303,-66.61374,23083
18.22048,-65.74293,23753
18.294571,-66.25098,29921
18.217827,-66.42265,23844
18.023196,-66.0131,20152
18.233927,-66.04502,144024
18.013353,-66.65218,52069
18.35615,-65.89089,50982
18.022626,-66.61727,38828
18.077329,-66.61192,21351
18.258444,-65.65987,18004
18.112895,-66.15377,49673
18.32265,-65.66116,38173
18.16984,-66.16271,40450
18.331711,-65.62761,2539
18.160755,-65.75765,5819
18.366213,-65.82277,52362
17.993803,-66.26534,23895
18.15633,-65.96831,40997
17.98631,-66.39457,21665
18.125664,-65.45603,9106
18.126023,-66.48208,27913
18.072752,-65.89703,39246
18.092813,-66.3611,37597
18.18744,-65.87088,34485
18.427674,-65.87605,24890
18.361344,-65.72133,19817
18.311149,-65.29257,1868
18.224088,-65.91316,36452
18.258628,-65.97791,36743
18.068538,-66.55939,10017
18.223348,-66.2267,18897
18.304874,-66.32305,36867
17.984137,-66.12779,43926
18.147257,-65.82269,53216
18.204294,-66.31058,28909
18.036253,-66.50289,50531
18.465426,-66.10786,7418
18.46454,-66.10079,545
18.451131,-66.07798,22173
18.442282,-66.06764,7671
18.45009,-66.0577,9345
18.445946,-66.05928,7992
18.450907,-66.04256,10893
18.436995,-66.04888,35993
18.422263,-66.0513,26165
18.417668,-66.06494,18144
18.41242,-66.09069,19424
18.394019,-66.08633,45230
18.410681,-66.03806,31410
18.401917,-66.01194,62205
18.400006,-66.05028,8101
18.361363,-66.0562,102545
18.39184,-66.06867,16560
18.413511,-66.12198,722
18.433173,-66.2042,81694
18.429218,-66.18014,12028
18.36802,-66.23414,62470
18.34216,-66.16643,80844
18.369674,-66.18669,50620
18.387063,-66.15943,53465
18.412462,-66.16033,39407
18.437683,-66.13847,30071
18.431453,-66.11703,9397
18.398507,-66.11522,15785
18.408479,-66.1025,3885
18.366981,-66.10889,48787
18.329688,-66.11876,29136
18.346767,-66.00561,73465
18.431885,-66.0127,18681
18.409345,-65.99313,14641
18.414408,-65.97582,47396
18.374896,-65.94691,60824
18.372228,-65.96275,40879
42.07061,-72.62029,16475
42.377651,-72.50323,36776
42.412094,-72.10443,5079
42.278424,-72.411,12997
42.174313,-72.94828,1234
42.126038,-72.20552,3350
42.271442,-73.01958,2085
42.390836,-72.84356,521
42.161492,-72.60316,22963
42.175992,-72.57265,29325
42.196666,-72.55606,2365
42.465041,-72.91813,1079
42.27279,-72.68677,17493
42.066795,-72.5102,14195
42.175896,-73.04204,581
42.070774,-72.67248,11669
42.33071,-72.18833,1243
42.45792,-72.81551,201
42.254563,-72.51831,6134
42.086224,-72.94464,1929
42.35549,-72.5733,4793
42.064703,-72.41735,5076
42.374202,-72.19524,740
42.375155,-72.60832,2652
42.381475,-72.69259,1085
42.201891,-72.6242,39838
42.290209,-72.87942,2385
42.353105,-72.70206,1514
42.479839,-72.49879,1453
42.174893,-72.47068,21149
42.089269,-72.317,8299
42.324539,-72.63561,16261
42.324232,-72.67915,11172
42.349769,-72.04413,1713
42.176401,-72.32646,9879
42.515853,-72.91661,548
42.165931,-72.85153,1649
42.486027,-72.42208,1489
42.223885,-72.72777,5387
42.234891,-72.58243,17254
42.05283,-72.76966,8835
42.180563,-72.36518,2585
42.058024,-72.22517,1620
42.270611,-72.26067,9955
42.20468,-72.20259,2297
42.379807,-72.89043,161
42.133642,-72.75029,40734
42.388831,-72.6321,522
42.112793,-72.64066,27899
42.210777,-72.23904,1126
42.12531,-72.44057,13672
42.415236,-72.78271,2641
42.399054,-72.93871,1169
42.103294,-72.59112,2721
42.130343,-72.57338,22401
42.096644,-72.5798,13161
42.050395,-72.5712,15903
42.120193,-72.6061,11336
42.084094,-72.55523,25755
42.116277,-72.55031,30851
42.093144,-72.5291,14199
42.128442,-72.50932,13138
42.095344,-72.48857,2917
42.121031,-72.4896,7043
42.153926,-72.50531,8290
42.45384,-73.254,47658
42.619727,-73.11842,9404
42.057496,-73.32177,825
42.314449,-73.09335,1764
42.551731,-73.1653,2806
42.476575,-73.11547,7858
42.189715,-73.35249,9242
42.433661,-73.09278,2538
42.266874,-73.36236,2015
42.557346,-73.24364,2449
42.299263,-73.2327,6402
42.36237,-73.27683,5285
42.336557,-73.24599,106
42.180659,-73.20849,973
42.696064,-73.10145,17052
42.198403,-73.10205,644
42.374711,-73.36336,998
42.088973,-73.12444,783
42.592506,-73.01123,692
42.102694,-73.36591,2335
42.103122,-73.45734,134
42.0645,-73.24674,521
42.283216,-73.31423,772
42.224905,-73.20394,233
42.328535,-73.36407,1742
42.689962,-73.22355,8749
42.605524,-72.60098,18483
42.521131,-72.81116,1601
42.579931,-72.20836,12899
42.678023,-72.55569,2619
42.569498,-72.802,21
42.626858,-72.87939,2051
42.673371,-72.73104,1875
42.508313,-72.70403,1745
42.542322,-72.6091,1013
42.607051,-72.41396,832
42.669255,-72.80494,334
42.5737,-72.50525,1644
42.712257,-72.97629,55
42.534976,-72.52522,2422
42.485899,-72.33345,889
42.682285,-72.45649,2951
42.599614,-72.29263,7564
42.474718,-72.21226,1174
42.694883,-72.90962,374
42.671012,-72.16999,1269
42.603447,-72.72754,4351
42.472734,-72.62452,5300
42.449978,-72.56302,3787
42.609425,-72.54438,6422
42.667152,-72.32729,753
42.547274,-72.41724,938
42.594455,-72.36314,40
42.578689,-71.80338,39102
42.658768,-71.93287,5569
42.672005,-71.8137,2845
42.549821,-71.59136,8029
42.608903,-72.08021,3053
42.563367,-72.03498,128
42.575355,-71.99183,21111
42.609887,-71.55722,9547
42.505928,-71.5888,5031
42.477515,-71.99654,3909
42.526523,-71.75358,41447
42.540052,-71.49085,8184
42.582839,-71.72051,9401
42.665686,-71.5929,11142
42.559289,-71.64555,6368
42.488666,-71.62412,208
42.557796,-72.06824,3300
42.658738,-71.69204,6072
42.544622,-71.9021,6907
42.669408,-71.74578,3131
42.675441,-72.0467,9571
42.20361,-71.83843,15827
42.380562,-71.62665,2380
42.028147,-71.52999,8804
42.338392,-71.73026,4008
42.200374,-72.09787,3051
42.135142,-71.96961,11263
42.418836,-71.68482,13435
42.212777,-72.05311,2097
42.061437,-71.72887,7067
42.12515,-72.12393,2306
42.201674,-71.68771,5701
42.338962,-71.84434,12702
42.054676,-72.16137,2407
42.369658,-71.87418,2919
42.473131,-71.67946,7236
42.238942,-71.91908,6178
42.196144,-71.76272,12784
42.036396,-71.57798,2724
42.317121,-72.12248,907
42.321917,-71.64692,14013
42.140741,-71.64376,4710
42.267274,-72.07823,4683
42.231444,-71.70523,6430
42.170846,-71.88989,1798
42.117527,-71.8657,11523
42.451569,-71.882,3353
42.194793,-71.90651,1926
42.380877,-71.96427,6353
42.286643,-71.72502,31658
42.070827,-72.03533,17214
42.177462,-71.69382,2776
42.247212,-71.99227,11691
42.436875,-71.77333,7257
42.104581,-72.08584,5531
42.17382,-71.60971,5629
42.064978,-71.62992,11089
42.047728,-71.86108,15700
42.049864,-71.9173,10751
42.269845,-71.61408,17997
42.359842,-71.787,6195
42.242965,-72.16734,5569
42.114195,-71.67225,8517
42.131028,-71.75121,8250
42.272359,-71.84482,22983
42.240526,-71.83776,17606
42.255393,-71.77459,33519
42.286543,-71.78846,24410
42.311342,-71.79531,19905
42.229543,-71.79501,7416
42.261343,-71.80173,3222
42.271743,-71.81348,21314
42.248493,-71.80793,23615
42.238449,-71.87139,2398
42.307591,-71.91929,4386
42.318695,-71.42344,31010
42.283995,-71.42161,36061
42.519739,-71.42721,438
42.486259,-71.51244,4868
42.477142,-71.4422,19813
42.257956,-71.45886,14674
42.496679,-71.27504,12566
42.459085,-71.27556,2933
42.437086,-71.61266,4148
42.5286,-71.35084,4717
42.457201,-71.37478,17073
42.295544,-71.50468,340
42.196065,-71.43797,13801
42.125536,-71.53662,5696
42.220447,-71.53418,13346
42.389813,-71.55791,18113
42.350909,-71.54753,36255
42.430781,-71.45594,10433
42.092006,-71.54474,5286
42.149176,-71.52149,27010
42.290763,-71.35368,31887
42.231025,-71.37202,4200
42.297643,-71.53369,8441
42.425537,-71.30316,5152
42.423882,-71.51086,5902
42.38532,-71.42989,16841
42.345583,-71.35643,13222
42.484545,-71.15206,37258
42.506362,-71.20008,22876
42.646942,-71.1513,31247
42.54805,-71.25054,29274
42.595491,-71.3544,25428
42.677772,-71.316,28562
42.671356,-71.50292,2822
42.78519,-71.07011,24122
42.781357,-71.11023,21431
42.729437,-70.98291,7377
42.750691,-71.02487,6038
42.757767,-71.08518,13416
42.706941,-71.16181,4450
42.71159,-71.16667,44339
42.691091,-71.16078,23189
42.73004,-71.17935,43854
42.683841,-71.11171,27202
42.655791,-71.30504,15808
42.630915,-71.33238,29631
42.634112,-71.29849,32904
42.649758,-71.33348,26824
42.834246,-71.00207,6138
42.573592,-71.2911,10074
42.634199,-71.39322,8430
42.583436,-71.0982,13865
42.52585,-71.10993,23708
42.601684,-71.22071,28484
42.671589,-71.41694,11088
42.501345,-71.07132,24804
42.592086,-71.43754,20754
42.558576,-71.17031,21335
42.451945,-71.14276,20810
42.469946,-70.94113,47625
42.490421,-70.96579,18052
42.464879,-70.97411,23410
42.462796,-71.0098,26041
42.474409,-70.90588,14412
42.427096,-70.92809,3632
42.854423,-70.93547,16397
42.560995,-70.8757,39862
42.677869,-71.00844,7921
42.76087,-70.92648,2854
42.569756,-70.94322,25212
42.631753,-70.77925,3267
42.624015,-70.67552,30273
42.682965,-70.84007,12987
42.527895,-71.02834,11542
42.580033,-70.76462,5228
42.497146,-70.86323,20377
42.602278,-71.01356,7744
42.809891,-70.86363,18387
42.780141,-70.86866,2718
42.85048,-70.86153,7827
42.534045,-70.96146,48129
42.659936,-70.61727,7767
42.716708,-70.90899,5500
42.516845,-70.8985,40407
42.616643,-70.86513,8315
42.642471,-70.94424,6141
42.600518,-70.87618,4440
42.790736,-70.97286,4149
42.075122,-71.47953,15314
42.166776,-71.1343,20614
42.241908,-70.81223,7261
42.244609,-71.16553,23527
42.23888,-71.28241,5558
42.153912,-71.21362,3914
42.061427,-71.24232,16246
42.089104,-71.4069,29560
42.225708,-70.88764,19882
42.286347,-70.87663,11050
42.019982,-71.2191,22414
42.109763,-70.69172,24757
42.185571,-71.30476,12273
42.151526,-71.42315,12448
42.166398,-71.36178,7902
42.111836,-71.32855,10460
42.15243,-70.8205,9765
42.185974,-71.20166,28587
42.205038,-70.7513,17430
42.113749,-71.17923,17396
42.101406,-71.27239,995
42.125432,-71.10627,27149
42.145237,-71.25375,17927
42.212949,-71.20735,14100
42.0597,-71.34617,10554
42.357903,-71.06408,3309
42.361477,-71.05417,3492
42.356532,-71.05365,1356
42.349838,-71.06101,5180
42.365028,-71.05636,6378
42.361792,-71.06774,11200
42.34308,-71.09268,25202
42.349622,-71.07372,19448
42.338724,-71.07276,22074
42.324511,-71.08455,23781
42.332099,-71.09651,11218
42.307448,-71.08127,24880
42.296298,-71.05454,23870
42.28713,-71.07156,51344
42.316852,-71.05811,33952
42.272098,-71.09426,28147
42.33499,-71.04562,29530
42.378297,-71.0255,38413
42.378619,-71.06495,15195
42.309998,-71.11171,36232
42.284678,-71.13052,32404
42.279432,-71.1598,23826
42.355147,-71.13164,21333
42.348418,-71.15349,44016
42.252198,-71.12593,28337
42.379146,-71.12803,35556
42.364347,-71.10431,34638
42.393327,-71.12837,16846
42.370519,-71.08443,12271
42.362297,-71.08412,2065
42.381929,-71.09908,25135
42.399546,-71.12165,25062
42.390846,-71.09225,26861
42.428549,-71.06059,56340
42.409916,-71.0522,38037
42.396382,-71.03352,35080
42.416247,-71.00525,47283
42.373047,-70.97803,18303
42.419846,-71.10942,56185
42.367946,-71.12056,1134
42.250739,-70.99593,52117
42.267049,-71.01834,19327
42.284498,-71.02316,16581
42.459045,-71.06233,27134
42.480145,-71.09835,22219
42.209555,-70.99968,33828
42.253074,-71.07496,26062
42.212866,-70.95872,14789
42.2112,-70.93111,14897
42.1711,-70.94597,15561
42.242749,-70.94434,8741
42.34713,-71.08234,995
42.347974,-71.04463,509
42.346997,-71.10215,22331
42.367797,-71.06282,55
42.0794,-71.03441,61551
42.08715,-71.00222,32753
42.121932,-71.04522,4443
41.979501,-70.97215,25179
41.873697,-70.7656,11163
42.031371,-70.70105,14248
42.029083,-70.95227,12974
41.999851,-70.85395,7513
42.12867,-70.85913,13164
42.059434,-70.86205,9482
42.148351,-71.01037,10682
41.889582,-70.89406,19897
41.835094,-70.95973,9865
42.119534,-70.94787,14605
42.058507,-71.11309,12614
41.805219,-70.62642,13
42.065554,-70.80426,16927
41.894676,-70.61999,51547
41.993102,-70.73827,11780
41.854063,-70.66088,136
41.968987,-70.80452,2637
42.173417,-71.04912,31227
42.129513,-70.91189,17670
42.029749,-71.10191,9685
42.02195,-71.01878,6640
42.08235,-70.93734,13882
42.452895,-71.21619,14126
42.439295,-71.23553,16239
42.324397,-71.13933,26259
42.344747,-71.12141,29647
42.393029,-71.24771,17774
42.392496,-71.22153,12306
42.370446,-71.23563,29146
42.354727,-71.18809,11864
42.321197,-71.193,17893
42.352996,-71.20907,9672
42.31883,-71.20822,6362
42.331646,-71.25761,1464
42.311997,-71.22046,2849
42.351046,-71.22677,10995
42.345833,-71.24735,7235
42.321997,-71.17314,10759
42.325247,-71.2319,5891
42.371296,-71.18196,32986
42.419496,-71.15635,25682
42.416745,-71.17761,16697
42.391546,-71.17471,24173
42.313329,-71.27649,14128
42.300096,-71.30336,12485
42.278247,-71.23388,19697
42.358663,-71.28831,11469
42.29813,-71.23154,9214
41.751841,-70.59764,14793
41.66566,-70.616,815
41.345578,-70.75145,1196
41.578992,-70.5614,19699
41.733837,-70.43754,5945
41.782915,-70.64881,2910
41.380479,-70.52453,3779
41.56105,-70.61968,8892
41.665605,-70.52456,1602
41.526791,-70.66505,750
41.276758,-70.09089,9520
41.6403,-70.63036,3301
41.746424,-70.65956,1928
41.694132,-70.61706,3205
41.735645,-70.48866,10874
41.451263,-70.60872,9555
41.751554,-70.71059,10500
41.378807,-70.66376,398
41.776042,-70.75783,2982
41.654741,-70.2895,16181
41.700327,-70.29568,1752
41.746647,-70.07773,9988
41.658718,-70.34658,11204
41.686534,-69.97746,4237
41.625037,-70.44317,3362
41.736684,-70.19183,3892
41.661115,-70.13348,3245
41.844087,-69.98921,5453
41.683462,-70.51211,3773
41.707332,-70.05679,9575
41.669219,-70.07419,1886
41.63275,-70.30435,73
41.667689,-70.4168,7437
41.613743,-70.48754,12964
41.702265,-69.96958,1046
42.02889,-70.07938,1351
41.777647,-69.97312,6287
41.632935,-70.38693,4121
42.053355,-70.18947,3431
41.678628,-70.02495,1219
41.712338,-70.16165,7252
41.675799,-70.0396,7
41.670981,-70.19797,9836
41.992804,-70.05427,732
41.922412,-70.01484,2753
41.70631,-70.37048,3358
41.673635,-69.99494,178
41.659749,-70.17089,1584
41.665589,-70.11152,1023
41.636077,-70.31962,201
41.656883,-70.23726,8331
41.703205,-70.22395,6808
41.792192,-71.06446,4092
41.928099,-71.31456,42068
41.429673,-70.8954,59
41.811514,-71.13633,2202
41.765934,-70.95332,4380
41.876249,-71.01827,6809
41.634152,-70.8814,16159
41.716952,-71.13986,31683
41.685452,-71.15425,26336
41.691369,-71.13234,15941
41.684152,-71.17436,17479
41.721652,-71.17482,2813
41.754828,-71.14894,15383
41.706599,-70.75086,5123
41.654776,-70.80087,6268
41.634754,-70.93752,43159
41.697015,-70.91019,10072
41.610754,-70.91453,11718
41.692806,-70.93264,23984
41.659336,-70.93347,15073
41.637916,-70.99076,19359
41.59156,-70.9494,11315
41.975495,-71.33086,24889
42.011848,-71.32392,7683
41.967949,-71.31024,2254
41.851557,-71.15125,3973
41.969185,-71.1854,18036
41.934586,-71.04905,11488
41.835067,-71.26115,10122
41.760783,-70.83848,4390
41.84345,-71.32343,13425
41.741551,-71.21433,15989
41.825252,-71.07799,5749
41.904888,-71.10288,49418
41.602517,-71.08904,14597
41.430068,-71.78101,2829
41.746834,-71.32031,16819
41.171389,-71.58358,1010
41.402009,-71.74785,2297
41.6842,-71.26866,22469
41.46603,-71.66408,1250
41.385256,-71.66813,7859
41.896002,-71.70335,7603
41.777861,-71.67009,275
41.69105,-71.57462,31239
41.625874,-71.67023,5122
41.649733,-71.46815,18349
41.563937,-71.60547,5619
41.785151,-71.72021,5171
41.695419,-71.74472,2392
41.870799,-71.5539,7199
41.976659,-71.64969,6860
41.73865,-71.57482,3152
41.511414,-71.72737,4755
41.470822,-71.77722,659
41.520312,-71.3718,5622
41.448844,-71.62145,116
41.518038,-71.16548,3593
41.968698,-71.47503,3214
41.948108,-71.64003,1185
41.488002,-71.31262,26509
41.511739,-71.28658,17300
41.589701,-71.454,23657
41.83902,-71.6257,8388
41.96186,-71.64661,829
41.964896,-71.72311,7265
41.872099,-71.39007,46398
41.881632,-71.35583,26617
41.889863,-71.3926,18946
41.949099,-71.41181,31840
41.905666,-71.43023,17684
41.603929,-71.26099,17149
41.515135,-71.45692,4712
41.447642,-71.63877,263
41.629413,-71.18724,15260
41.423601,-71.52322,18897
41.481001,-71.52689,6973
41.432452,-71.46352,14626
41.726184,-71.27049,11360
41.705478,-71.45119,30315
41.74805,-71.40982,20637
41.706814,-71.3911,29455
41.354881,-71.80387,21327
41.50155,-71.58465,4341
41.70375,-71.51857,29581
41.444078,-71.69556,538
42.001731,-71.50722,43224
41.988166,-71.55188,10332
41.51495,-71.68484,1818
